10/11/2018,HUD,WHU,1,1,C Kavanagh
10/11/2018,LEI,BUR,0,0,M Dean
10/11/2018,NEW,BOU,2,1,L Probert
10/11/2018,SOU,WAT,1,1,S Hooper
11/11/2018,ARS,WOL,1,1,S Attwell
11/11/2018,CHE,EVE,0,0,K Friend
11/11/2018,LIV,FUL,2,0,P Tierney
11/11/2018,MCI,MUN,3,1,A Taylor
24/11/2018,BHA,LEI,1,1,C Kavanagh
24/11/2018,EVE,CAR,1,0,P Tierney
24/11/2018,FUL,SOU,3,2,M Oliver
24/11/2018,MUN,CRY,0,0,L Mason
24/11/2018,TOT,CHE,3,1,M Atkinson
24/11/2018,WAT,LIV,0,3,J Moss
24/11/2018,WHU,MCI,0,4,A Marriner
25/11/2018,BOU,ARS,1,2,C Pawson
25/11/2018,WOL,HUD,0,2,K Friend
26/11/2018,BUR,NEW,1,2,A Taylor
30/11/2018,CAR,WOL,2,1,A Marriner
1/12/2018,CRY,BUR,2,0,L Probert
1/12/2018,HUD,BHA,1,2,M Oliver
1/12/2018,LEI,WAT,2,0,G Scott
1/12/2018,MCI,BOU,3,1,S Attwell
1/12/2018,NEW,WHU,0,3,P Tierney
1/12/2018,SOU,MUN,2,2,K Friend
2/12/2018,ARS,TOT,4,2,M Dean
2/12/2018,CHE,FUL,2,0,C Pawson
2/12/2018,LIV,EVE,1,0,C Kavanagh
5/12/2018,WHU,CAR,3,1,G Scott
5/12/2018,BHA,CRY,3,1,K Friend
5/12/2018,BOU,HUD,2,1,R East
5/12/2018,WAT,MCI,1,2,P Tierney
6/12/2018,BUR,LIV,1,3,S Attwell
6/12/2018,EVE,NEW,1,1,L Mason
6/12/2018,FUL,LEI,1,1,D Coote
6/12/2018,WOL,CHE,2,1,J Moss
6/12/2018,MUN,ARS,2,2,A Marriner
6/12/2018,TOT,SOU,3,1,A Taylor
8/12/2018,BOU,LIV,0,4,L Mason
8/12/2018,ARS,HUD,1,0,P Tierney
8/12/2018,BUR,BHA,1,0,M Atkinson
8/12/2018,CAR,SOU,1,0,J Moss
8/12/2018,MUN,FUL,4,1,L Probert
8/12/2018,WHU,CRY,3,2,A Taylor
9/12/2018,CHE,MCI,2,0,M Oliver
9/12/2018,LEI,TOT,0,0,C Pawson
9/12/2018,NEW,WOL,0,0,
